time_s,time_us,time_steady,temperature,seq,srcSystem,srcComponent,time_gregorian,time_s_from_launch,mins_from_launch,log_timestamp,log_timestamp_gregorian,time_steady_from_launch,mins_steady_from_launch,baro_altitude
1656909114,818483,2461064,30.3125,88,10,4,2022-07-04T07:31:54,-251,-4.16969195,1656909122.515152,2022-07-04T07:32:02,-249909,-4.16515,96.73040058704225
1656909131,818489,2478145,30.375,226,10,4,2022-07-04T07:32:11,-234,-3.8863585166666668,1656909142.6117449,2022-07-04T07:32:22,-232828,-3.8804666666666665,97.21814790965777
1656909147,978479,2494278,30.4375,102,10,4,2022-07-04T07:32:27,-218,-3.61702535,1656909155.4123049,2022-07-04T07:32:35,-216695,-3.6115833333333334,97.343841897279
1656909162,988510,2509247,30.5,228,10,4,2022-07-04T07:32:42,-203,-3.366858166666667,1656909171.6480958,2022-07-04T07:32:51,-201726,-3.3621,96.96477903947039
1656909179,978510,2526234,30.625,118,10,4,2022-07-04T07:32:59,-186,-3.0836915,1656909187.684365,2022-07-04T07:33:07,-184739,-3.0789833333333334,97.10834691937849
1656909195,978489,2542205,30.6875,250,10,4,2022-07-04T07:33:15,-170,-2.8170251833333335,1656909203.546737,2022-07-04T07:33:23,-168768,-2.8128,96.5630041737499
1656909202,988584,2554271,30.6875,94,10,4,2022-07-04T07:33:22,-163,-2.7001902666666666,1656909218.341317,2022-07-04T07:33:38,-156702,-2.6117,96.82968684975329
1656909243,999302,2589278,30.6875,128,10,4,2022-07-04T07:34:03,-122,-2.0166783,1656909252.3100998,2022-07-04T07:34:12,-121695,-2.02825,97.4895701671782
1656909258,9344,2603253,30.625,248,10,4,2022-07-04T07:34:18,-107,-1.7831776,1656909268.193745,2022-07-04T07:34:28,-107720,-1.7953333333333332,97.21477783113544
1656909273,999326,2619275,30.5625,124,10,4,2022-07-04T07:34:33,-92,-1.5166779000000001,1656909284.3981009,2022-07-04T07:34:44,-91698,-1.5283,97.5566567660566
1656909304,19306,2649370,30.4375,116,10,4,2022-07-04T07:35:04,-61,-1.0163449,1656909312.231729,2022-07-04T07:35:12,-61603,-1.0267166666666667,97.99277346758115
1656909320,19286,2665262,30.375,252,10,4,2022-07-04T07:35:20,-45,-0.7496785666666667,1656909327.7460809,2022-07-04T07:35:27,-45711,-0.76185,98.14594311699746
1656909335,39364,2680293,30.25,122,10,4,2022-07-04T07:35:35,-30,-0.4993439333333333,1656909343.6787238,2022-07-04T07:35:43,-30680,-0.5113333333333333,98.22499842823848
1656909349,39302,2694324,30.1875,242,10,4,2022-07-04T07:35:49,-16,-0.26601163333333333,1656909359.650761,2022-07-04T07:35:59,-16649,-0.27748333333333336,98.48223326019153
1656909366,49342,2711378,30.1875,128,10,4,2022-07-04T07:36:06,1,0.017489033333333334,1656909372.2527518,2022-07-04T07:36:12,405,0.006750000000000001,100.19730440374401
